RowNumber,CustomerId,Surname,FirstName,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
79,10879299,Das,Arjun,489,Delhi,Male,47,1,163573.73,1,1,1,521277.7,0
80,17721626,Singh,Nisha,843,Maharashtra,Female,37,3,771745.75,2,1,0,581623.73,0
81,14453135,Yadav,Anjali,732,Gujarat,Female,40,1,229167.66,1,1,0,2042352.65,0
82,14121676,Chopra,Vikram,525,Karnataka,Male,51,3,0.0,1,1,0,2181107.29,0
83,18645537,Pandey,Neha,535,Delhi,Female,46,5,378189.61,1,1,1,195993.94,0
84,13324139,Joshi,Karan,839,Maharashtra,Male,51,6,1493516.97,1,0,0,1826356.1,0
85,17924044,Shah,Amit,498,Delhi,Male,55,5,0.0,1,0,1,1011534.78,0
86,12469495,Verma,Shreya,720,Delhi,Female,29,3,0.0,1,1,1,976460.12,0
87,19194898,Singh,Riya,840,Tamil Nadu,Female,25,9,223511.82,2,1,0,1472813.53,0
88,16269449,Rao,Aditya,446,Karnataka,Male,28,2,631754.68,1,0,0,1931044.62,0
89,17100561,Yadav,Neha,411,Gujarat,Female,41,3,728661.19,2,0,0,2332963.88,0
90,11127935,Rao,Vikram,407,Karnataka,Male,36,4,1116322.46,1,0,0,204403.53,1
91,18262959,Chatterjee,Manish,830,Maharashtra,Male,36,3,0.0,1,0,1,797873.16,0
92,14682573,Yadav,Rohan,734,Tamil Nadu,Male,38,2,350051.92,2,1,0,1079241.44,0
93,16560035,Bose,Arjun,767,Tamil Nadu,Male,48,0,408533.9,2,1,0,361654.05,0
94,15402202,Shah,Pooja,672,Karnataka,Female,38,2,902911.67,2,1,0,262373.79,0
95,14291963,Das,Priya,570,Tamil Nadu,Female,34,4,419405.83,2,0,1,2484982.75,0
96,17594100,Bose,Siddharth,488,Karnataka,Male,57,5,732827.03,2,1,1,1678336.66,1
97,15013845,Patel,Isha,864,Karnataka,Female,60,3,0.0,2,1,0,802756.23,0
98,12218030,Saxena,Ananya,811,Delhi,Female,36,0,1216617.15,2,1,1,1051459.75,0
99,10284739,Sharma,Pranav,414,Maharashtra,Male,41,9,1314465.17,2,0,0,1820616.02,0
100,18398349,Pandey,Rajesh,306,Maharashtra,Male,21,6,0.0,1,1,1,516874.57,0
101,17310811,Chopra,Divya,766,Maharashtra,Female,31,8,1261990.32,2,1,1,1165787.99,1
102,10044493,Kapoor,Sneha,647,Karnataka,Female,31,5,0.0,1,1,1,2183017.1,0
103,19096906,Iyer,Meera,375,Delhi,Female,22,5,0.0,2,1,1,809355.2,0
104,18863397,Shah,Pranav,879,Karnataka,Male,52,8,1242002.92,1,1,1,580795.21,0
105,14807630,Kapoor,Neha,333,Gujarat,Female,39,3,310932.22,1,0,1,2233123.14,0
106,12153713,Kapoor,Rajesh,818,Maharashtra,Male,25,4,0.0,2,0,0,2384057.3,0
107,10474641,Mishra,Nikhil,737,Delhi,Male,23,4,0.0,1,0,1,2222237.44,0
108,10885950,Singh,Aarav,750,Tamil Nadu,Male,48,4,836010.37,2,0,1,2319820.12,1
109,10169149,Joshi,Rajesh,652,Maharashtra,Male,46,7,265870.27,1,0,0,1125785.36,0
110,14062711,Pandey,Manish,439,Maharashtra,Male,43,0,0.0,1,1,0,1266552.67,0
111,11541831,Menon,Arjun,613,Delhi,Male,50,9,329636.09,2,1,0,1619877.37,1
112,11873377,Pillai,Aarav,766,Maharashtra,Male,28,9,1316031.86,1,1,1,316156.45,0
113,11541669,Mishra,Kavya,508,Gujarat,Female,56,2,408085.08,2,0,1,1761745.97,1
114,13294463,Shah,Amit,381,Tamil Nadu,Male,49,7,673234.98,1,0,0,1438648.47,0
115,16489368,Patel,Rohan,696,Karnataka,Male,33,8,1496374.81,2,1,1,2354888.84,0
116,14765322,Patel,Manish,395,Gujarat,Male,45,1,766690.74,2,1,1,1442347.93,0
117,12436508,Patel,Rahul,618,Tamil Nadu,Male,42,3,0.0,2,0,1,2479150.25,0
118,13224964,Iyer,Shreya,688,Maharashtra,Female,53,7,0.0,2,0,1,2429097.77,1
119,16425059,Kumar,Deepak,385,Gujarat,Male,57,4,1319503.95,1,0,0,1111529.55,0
120,13866124,Rao,Rekha,670,Karnataka,Female,27,0,502610.33,2,1,1,259925.66,0
121,17571683,Bose,Siddharth,371,Tamil Nadu,Male,43,5,0.0,2,1,1,2053601.31,0
122,18474747,Rao,Rajesh,351,Gujarat,Male,26,8,1333485.3,1,0,1,2158016.5,0
123,18887034,Srivastava,Ananya,763,Delhi,Female,35,8,916304.14,2,1,1,1462858.91,0
124,13280762,Kapoor,Nisha,395,Maharashtra,Female,35,0,895763.05,2,1,1,1879777.47,1
125,16882516,Joshi,Vikram,560,Maharashtra,Male,60,3,0.0,2,0,0,1286821.68,0
126,11970091,Chopra,Sneha,635,Delhi,Female,54,0,57403.07,1,1,1,1648210.0,0
127,19004986,Sharma,Suresh,313,Tamil Nadu,Male,34,6,376884.13,1,0,1,1368222.0,0
128,14112513,Gupta,Rekha,770,Gujarat,Female,49,2,0.0,1,1,0,1293254.58,0
129,10335936,Mehta,Sunita,863,Maharashtra,Female,36,1,0.0,1,1,0,2082889.93,0
130,11321695,Iyer,Priya,580,Karnataka,Female,49,7,912090.67,1,1,1,596368.47,0
131,16025537,Sharma,Sunita,518,Delhi,Female,43,8,0.0,2,0,0,1165044.95,0
132,17126153,Mehta,Aarav,371,Maharashtra,Male,30,6,17672.31,1,1,1,1744253.95,0
133,10485696,Malhotra,Isha,355,Maharashtra,Female,24,5,0.0,2,1,0,2466605.61,0
134,13758762,Verma,Pranav,509,Delhi,Male,32,9,1366868.88,2,1,1,1506393.2,0
135,14198443,Saxena,Rohan,592,Gujarat,Male,62,5,438648.76,1,1,0,1456458.28,0
136,10245430,Rao,Nikhil,689,Delhi,Male,54,8,0.0,1,0,0,1358612.21,0
137,10366601,Sharma,Siddharth,708,Karnataka,Male,24,4,0.0,2,0,1,300387.28,0
138,10389220,Desai,Rekha,703,Tamil Nadu,Female,40,4,0.0,2,1,0,1690029.96,0
139,10154499,Singh,Manish,868,Delhi,Male,48,1,717282.5,2,0,0,2416149.97,1
140,19290870,Verma,Aarav,480,Gujarat,Male,48,5,0.0,2,0,0,1856206.38,0
141,16860280,Saxena,Vikram,417,Gujarat,Male,26,5,525824.21,1,1,1,921418.77,0
142,12171417,Pandey,Suresh,636,Delhi,Male,34,5,918923.41,1,0,0,1704085.61,0
143,18808506,Tiwari,Neha,523,Karnataka,Female,55,3,1016038.47,2,1,1,1349085.21,0
144,11041351,Singh,Rahul,616,Delhi,Male,21,6,1437914.73,1,1,0,1726522.74,0
145,10302261,Rao,Kavya,635,Delhi,Female,39,8,194350.55,1,1,1,2494215.92,0
146,11609854,Mehta,Shreya,784,Maharashtra,Female,21,0,1351086.9,1,1,1,1594560.73,0
147,17936007,Joshi,Rekha,575,Karnataka,Female,33,2,0.0,2,1,0,224666.52,0
148,12840075,Pandey,Nikhil,558,Karnataka,Male,28,9,427687.45,2,1,1,768319.72,0
149,12118737,Kumar,Kavya,592,Maharashtra,Female,38,8,304383.08,2,0,0,1162328.15,0
150,18869057,Shah,Rajesh,462,Delhi,Male,55,4,179166.63,1,1,1,341854.72,0
151,18908685,Agarwal,Rekha,803,Gujarat,Female,43,5,638466.27,2,1,1,1253565.31,0
152,11310103,Srivastava,Nikhil,810,Maharashtra,Male,46,7,0.0,4,1,0,1228456.79,0
153,12983021,Tiwari,Karan,827,Maharashtra,Male,61,8,856810.7,2,1,1,2214967.95,0
154,17084912,Patel,Aarav,667,Karnataka,Male,58,7,628041.88,2,0,1,849596.99,0
155,18655723,Shah,Ananya,303,Gujarat,Female,40,2,1029599.62,1,1,1,1126173.7,1
156,18811264,Verma,Rajesh,572,Maharashtra,Male,22,9,0.0,2,1,0,727722.31,0
157,17248998,Kapoor,Karan,490,Tamil Nadu,Male,46,0,0.0,1,1,1,2035266.5,0
158,16226832,Srivastava,Aditya,397,Tamil Nadu,Male,56,4,0.0,1,1,1,2015558.26,0
159,13776878,Menon,Anjali,835,Maharashtra,Female,45,6,0.0,1,0,1,2371869.76,0
160,13648352,Gupta,Pooja,557,Tamil Nadu,Female,50,1,833145.79,1,0,0,2109668.17,0
161,15784727,Tiwari,Suresh,693,Delhi,Male,38,0,117545.2,2,1,0,2051253.28,0
162,12437285,Patel,Shreya,848,Karnataka,Female,27,3,0.0,2,0,1,727733.18,0
163,18170488,Shah,Vikram,613,Karnataka,Male,47,2,966107.77,2,0,0,1765783.4,1
164,17998361,Desai,Rajesh,729,Karnataka,Male,31,3,1472770.49,1,1,0,277170.56,0
165,11954635,Pillai,Divya,893,Maharashtra,Female,57,0,640335.78,2,1,1,231412.11,0
166,16194104,Joshi,Nikhil,553,Tamil Nadu,Male,28,1,746102.77,2,1,1,885116.94,0
167,14083636,Iyer,Rohan,824,Delhi,Male,31,0,0.0,2,1,0,2196592.11,0
168,11779602,Shah,Vikram,463,Maharashtra,Male,44,2,393376.58,1,1,1,819009.23,0
169,15820580,Reddy,Aarav,629,Maharashtra,Male,50,3,146048.89,1,1,1,2335262.69,1
170,10069958,Yadav,Manish,804,Karnataka,Male,50,0,962691.79,2,1,0,691590.48,0
171,13655940,Banerjee,Pranav,648,Tamil Nadu,Male,35,5,112796.0,2,1,0,289976.46,0
172,18527347,Shah,Rajesh,835,Maharashtra,Male,55,1,0.0,2,1,0,1557923.07,0
173,12729040,Tiwari,Deepak,480,Karnataka,Male,59,9,0.0,1,0,0,2076321.79,1
174,12891701,Rao,Manish,838,Maharashtra,Male,44,4,1411080.2,2,1,0,1502547.23,0
175,13121058,Saxena,Amit,756,Karnataka,Male,28,7,1047681.01,1,0,0,1352241.56,0
176,18609983,Singh,Aditya,373,Maharashtra,Male,63,3,0.0,1,0,1,1198347.47,1
177,14010758,Chatterjee,Pooja,439,Tamil Nadu,Female,62,4,417850.58,2,0,1,1841057.07,1
178,15731733,Srivastava,Siddharth,302,Delhi,Male,40,8,486754.56,2,1,1,2420325.79,0
179,11580423,Chatterjee,Priya,564,Gujarat,Female,61,1,0.0,2,1,1,908863.69,0
180,12520653,Das,Shreya,722,Maharashtra,Female,46,1,0.0,1,0,1,975242.8,0
181,12810844,Kumar,Ananya,841,Delhi,Female,44,5,119496.6,1,0,1,335196.85,0
182,19625768,Pillai,Amit,868,Maharashtra,Male,42,5,992221.05,1,0,1,563331.95,0
183,18838877,Verma,Deepak,713,Gujarat,Male,25,2,0.0,1,1,1,1400470.88,0
184,17247963,Tiwari,Rajesh,619,Gujarat,Male,35,8,1371269.05,2,0,1,911773.99,0
185,18198485,Pillai,Sneha,699,Delhi,Female,56,0,748494.01,2,1,0,2081762.97,0
186,12600343,Sharma,Amit,419,Tamil Nadu,Male,57,2,0.0,2,1,1,1623407.03,0
187,12943255,Tiwari,Riya,719,Tamil Nadu,Female,49,7,965432.51,2,0,0,1876634.38,1
188,15569506,Iyer,Sneha,585,Karnataka,Female,35,7,604785.44,2,1,1,1204718.7,0
189,10453633,Kumar,Aarav,345,Karnataka,Male,47,3,1175329.79,2,1,1,411085.05,0
190,16724932,Rao,Siddharth,656,Maharashtra,Male,28,7,106780.72,1,0,0,1484667.44,0
191,13410098,Bose,Sunita,379,Maharashtra,Female,49,9,882605.7,1,0,1,781305.73,0
192,19484235,Desai,Aarav,703,Gujarat,Male,39,7,0.0,1,1,0,1391786.75,0
193,19162771,Yadav,Deepak,761,Gujarat,Male,51,0,0.0,2,1,0,438850.98,1
194,19458283,Pillai,Riya,408,Karnataka,Female,29,2,1336490.92,2,1,0,1987760.87,1
195,18295490,Kapoor,Arjun,867,Delhi,Male,30,0,880273.51,2,0,0,1106579.91,0
196,17472402,Chopra,Rekha,520,Delhi,Female,57,1,0.0,2,0,1,1723186.4,1
197,13020122,Tiwari,Kavya,537,Tamil Nadu,Female,30,3,586512.29,2,0,0,1322367.85,0
198,19566903,Kapoor,Neha,766,Gujarat,Female,53,2,0.0,1,1,0,1262898.37,0
199,16941520,Iyer,Pranav,508,Gujarat,Male,45,5,640743.95,1,1,0,1065970.89,0
200,12014102,Shah,Rohan,489,Tamil Nadu,Male,24,4,0.0,1,1,0,1300088.34,0
201,17500554,Verma,Rajesh,425,Karnataka,Male,25,4,0.0,3,1,0,1601475.91,0
202,19239971,Pandey,Aarav,771,Maharashtra,Male,43,9,760687.96,1,1,1,699942.79,0
203,17691131,Sharma,Karan,382,Maharashtra,Male,59,6,287588.85,2,1,0,1837534.87,0
204,19140796,Patel,Vikram,342,Gujarat,Male,25,6,1048203.35,2,0,1,1306640.17,0
205,14855994,Tiwari,Rajesh,591,Karnataka,Male,28,8,1298510.23,1,1,1,1610931.54,0
206,12132781,Pandey,Vikram,444,Maharashtra,Male,37,7,553104.2,2,1,0,1276432.09,0
207,17508591,Shah,Riya,481,Maharashtra,Female,21,2,1432299.17,2,1,1,559781.74,0
208,14688158,Sharma,Manish,444,Tamil Nadu,Male,32,1,62393.74,2,0,1,940427.8,0
209,12492093,Menon,Amit,459,Maharashtra,Male,55,0,334412.16,2,1,0,970191.87,0
210,14610023,Pandey,Nisha,606,Maharashtra,Female,34,9,0.0,1,1,1,1120020.56,0
211,15739749,Pillai,Priya,671,Karnataka,Female,38,5,639555.58,2,1,1,920176.48,0
212,19859489,Banerjee,Karan,742,Tamil Nadu,Male,30,3,1191131.01,1,1,1,1745372.32,0
213,16507316,Shah,Rahul,843,Tamil Nadu,Male,35,2,1331341.25,1,0,1,2486573.92,0
214,18328148,Srivastava,Arjun,877,Maharashtra,Male,62,1,0.0,2,1,1,1818443.56,0
215,16246980,Verma,Riya,713,Tamil Nadu,Female,53,1,0.0,1,1,1,2404652.82,0
216,10288562,Chopra,Pooja,719,Maharashtra,Female,39,3,829682.32,2,1,0,1892835.37,0
217,12519087,Gupta,Divya,561,Delhi,Female,54,0,0.0,1,1,0,1541006.59,1
218,19494228,Pillai,Amit,304,Tamil Nadu,Male,45,5,0.0,2,1,0,1817133.35,0
219,12276701,Reddy,Vikram,611,Karnataka,Male,36,9,34566.63,1,1,0,2074818.38,0
220,12545033,Saxena,Nikhil,839,Tamil Nadu,Male,28,4,459187.89,2,0,0,2114091.33,0
221,17905216,Banerjee,Riya,358,Tamil Nadu,Female,55,9,162688.64,1,0,0,477490.72,0
222,16743156,Chatterjee,Rekha,598,Karnataka,Female,41,8,0.0,1,1,0,1631143.86,0
223,16501268,Iyer,Meera,349,Maharashtra,Female,39,1,1348870.46,2,1,0,551102.39,1
224,11001600,Pandey,Aditya,849,Delhi,Male,31,8,1021901.47,2,1,1,1873662.92,0
225,13484019,Joshi,Arjun,700,Delhi,Male,64,8,1489273.26,2,0,1,192832.17,0
226,16484566,Tiwari,Karan,582,Maharashtra,Male,31,9,871928.0,1,1,0,1667760.94,0
227,17025497,Tiwari,Kavya,464,Gujarat,Female,31,8,0.0,2,1,0,293557.95,0
228,13329781,Rao,Ananya,562,Delhi,Female,42,9,1327589.62,2,0,0,2270524.41,0
229,13425551,Tiwari,Rohan,593,Gujarat,Male,41,9,316550.16,2,0,0,1906358.71,0
230,10422288,Sharma,Pranav,508,Karnataka,Male,47,3,404130.69,1,0,0,2316280.64,0
231,18984600,Joshi,Manish,606,Tamil Nadu,Male,38,4,989797.07,1,0,1,1305321.58,0
232,13378488,Das,Vikram,663,Karnataka,Male,62,7,198754.19,2,1,1,186511.95,0
233,19004887,Desai,Isha,402,Karnataka,Female,60,7,0.0,2,1,0,2347764.85,0
234,10657348,Saxena,Deepak,791,Karnataka,Male,58,0,0.0,2,1,0,802976.21,0
235,14047671,Joshi,Priya,698,Maharashtra,Female,50,9,0.0,2,1,1,956136.75,1
236,10316887,Patel,Ananya,651,Tamil Nadu,Female,53,0,1198237.35,2,1,1,1463841.58,0
237,18659581,Das,Meera,536,Delhi,Female,41,9,594462.05,1,0,0,683526.37,0
238,11695010,Nair,Rohan,391,Maharashtra,Male,22,5,0.0,2,1,0,2406851.6,0
239,13405225,Agarwal,Meera,447,Karnataka,Female,33,6,499457.5,2,1,1,480806.94,0
240,12140412,Kapoor,Pranav,328,Maharashtra,Male,22,1,539756.25,1,0,0,954954.17,0
241,15058400,Menon,Rajesh,315,Gujarat,Male,63,1,1176445.97,2,0,0,2411535.49,0
242,12248767,Malhotra,Pranav,700,Gujarat,Male,51,4,648685.16,2,1,0,2479978.51,0
243,17425174,Iyer,Suresh,505,Gujarat,Male,30,8,1071804.99,2,0,1,1668415.86,0
244,11985302,Nair,Deepak,317,Delhi,Male,43,4,1111007.32,1,1,0,2000361.3,0
245,12702636,Verma,Rohan,476,Maharashtra,Male,42,7,0.0,2,1,1,1518398.79,0
246,16800713,Agarwal,Meera,740,Gujarat,Female,49,7,685688.97,2,1,0,1257052.48,1
247,10588667,Menon,Amit,830,Delhi,Male,53,4,0.0,1,1,0,981698.17,0
248,12415606,Bose,Nisha,369,Gujarat,Female,51,7,984344.95,2,1,0,725882.38,1
249,19530505,Tiwari,Sneha,821,Gujarat,Female,34,7,0.0,4,1,1,797234.15,0
250,15758023,Chatterjee,Aditya,556,Gujarat,Male,30,4,441115.17,2,0,1,1310260.94,0
251,13013112,Verma,Riya,556,Delhi,Female,38,4,801679.59,3,1,1,2368407.28,0
252,11945361,Kapoor,Rohan,858,Delhi,Male,31,3,988744.64,2,1,0,2198453.4,0
253,12116887,Nair,Deepak,529,Gujarat,Male,59,0,819106.56,1,1,1,939463.39,0
254,10926485,Menon,Pranav,517,Delhi,Male,23,8,27457.6,1,0,1,2388846.91,0
255,14933159,Gupta,Sunita,463,Maharashtra,Female,22,1,1489800.6,2,1,0,545555.18,1
256,14640982,Pandey,Amit,691,Karnataka,Male,28,0,1136692.53,1,1,0,1440104.74,0
257,15618307,Saxena,Riya,352,Gujarat,Female,51,5,0.0,2,1,0,1779590.82,1
258,10045558,Sharma,Amit,774,Tamil Nadu,Male,28,4,1142174.28,1,1,0,2365013.1,1
259,10444922,Iyer,Riya,303,Karnataka,Female,63,0,0.0,3,0,1,726018.77,1
260,15195025,Gupta,Aditya,860,Maharashtra,Male,22,6,903237.24,1,1,0,894541.63,0
261,17416924,Shah,Sneha,496,Karnataka,Female,42,6,938790.56,2,1,0,451382.26,0
262,19317704,Malhotra,Isha,374,Gujarat,Female,25,2,246070.49,2,0,1,960036.3,0
263,19163981,Desai,Riya,504,Maharashtra,Female,27,7,0.0,2,0,0,2123368.54,0
264,14099474,Pandey,Pooja,895,Karnataka,Female,40,5,884194.61,1,0,0,1145017.98,0
265,12215585,Pandey,Ananya,845,Gujarat,Female,48,3,0.0,2,0,0,2473928.16,1
266,11075748,Srivastava,Manish,652,Tamil Nadu,Male,33,9,1467226.23,1,0,0,1100221.91,0
267,15127307,Kapoor,Vikram,825,Tamil Nadu,Male,22,9,0.0,1,0,1,1845124.9,0
268,11221663,Desai,Rajesh,631,Tamil Nadu,Male,52,9,0.0,2,1,0,1107336.69,0
269,18914151,Malhotra,Arjun,502,Delhi,Male,46,2,0.0,2,0,0,732972.78,1
270,13587612,Verma,Aditya,537,Delhi,Male,23,0,27778.24,2,1,0,593457.87,0
271,11437330,Gupta,Amit,701,Tamil Nadu,Male,61,1,1026449.07,2,1,0,583054.65,1
272,19942379,Desai,Karan,688,Tamil Nadu,Male,62,1,0.0,1,0,0,1678662.54,0
273,15403076,Verma,Isha,366,Gujarat,Female,33,4,1077273.54,1,1,1,350659.95,0
274,18236395,Mishra,Aarav,449,Gujarat,Male,41,3,997536.61,1,1,0,1661097.03,0
275,18344867,Agarwal,Sunita,433,Karnataka,Female,57,1,897462.75,2,0,1,1143840.01,1
276,17843024,Nair,Rohan,710,Karnataka,Male,43,8,0.0,2,1,1,1718260.0,0
277,11055168,Joshi,Anjali,512,Tamil Nadu,Female,27,6,0.0,1,1,1,231451.88,0
